time,conc_point1,conc_point2
0,0,0
0.2,0.052474071673134,49.718132005142
0.4,0.23338566583423,50.645291260438
0.6,0.59018625944878,50.672966536225
0.8,1.1259916476233,50.679176369949
1,1.8127460559222,50.682831552771
1.2,2.6100798292485,50.68536811348
1.4,3.478294177592,50.687262885144
1.6,4.3843268947224,50.688747904981
1.8,5.3031490741756,50.689952406158
2,6.2169957676073,50.690954895026
2.2,7.1138967595222,50.69180619347
2.4,7.9862012821566,50.692540850278
2.6,8.8293475354364,50.693183282387
2.8,9.6409208936366,50.693751301318
3,10.419965844072,50.694258246583
3.2,11.166496833991,50.694714333066
3.4,11.881156422269,50.695127533243
3.6,12.564979175699,50.69550417286
3.8,13.219230141585,50.695849343958
4,13.845295377787,50.696167197949
4.2,14.444608599895,50.696461157846
4.4,15.018602787388,50.696734074758
4.6,15.568678983226,50.696988345161
4.8,16.096186896812,50.697226000051
5,16.602413572478,50.697448773621
5.2,17.088577531687,50.697658156801
5.4,17.555826591665,50.69785543944
5.6,18.005238114604,50.698041743882
5.8,18.437820824843,50.698218051939
6,18.854517598348,50.698385226733
6.2,19.256208815047,50.698544030527
6.4,19.643715994641,50.698695139392
6.6,20.017805527451,50.698839155345
6.8,20.379192375436,50.69897661646
7,20.728543662816,50.699108005348
7.2,21.066482106593,50.699233756291
7.4,21.393589258587,50.699354261297
7.6,21.710408545219,50.699469875243
7.8,22.017448101155,50.699580920282
8,22.315183399519,50.699687689617
8.2,22.604059685564,50.699790450769
8.4,22.884494223325,50.699889448391
8.6,23.156878366186,50.699984906726
8.8,23.421579463005,50.700077031743
9,23.678942611527,50.700166013005
9.2,23.929292270663,50.700252025316
9.4,24.172933742709,50.700335230159
9.6,24.410154536075,50.700415776978
9.8,24.641225618364,50.700493804303
10,24.866402569038,50.700569440756
10.2,25.085926640156,50.700642805938
10.4,25.300025733041,50.70071401123
10.6,25.508915298074,50.700783160502
10.8,25.71279916421,50.700850350747
11,25.911870304237,50.70091567266
11.2,26.106311541284,50.700979211148
11.4,26.296296201587,50.701041045796
11.6,26.481988718086,50.701101251288
11.8,26.663545188994,50.701159897784
12,26.841113895147,50.701217051265
12.2,27.014835779555,50.701272773849
12.4,27.184844892303,50.701327124069
12.6,27.351268803648,50.701380157138
12.8,27.51422898791,50.701431925184
13,27.673841180525,50.701482477464
13.2,27.830215710409,50.701531860564
13.4,27.983457809605,50.701580118582
13.6,28.133667902001,50.70162729329
13.8,28.280941872747,50.701673424291
14,28.425371319878,50.70171854916
14.2,28.567043789494,50.701762703569
14.4,28.706042995741,50.701805921415
14.6,28.842449026755,50.701848234923
14.8,28.976338537579,50.701889674754
15,29.107784931045,50.701930270096
15.2,29.236858527461,50.701970048754
15.4,29.363626723947,50.702009037231
15.6,29.488154144118,50.702047260805
15.8,29.610502778823,50.702084743599
16,29.730732118547,50.702121508644
16.2,29.84889927806,50.702157577945
16.4,29.96505911383,50.702192972535
16.6,30.0792643347,50.702227712528
16.8,30.191565606267,50.702261817171
17,30.302011649387,50.702295304889
17.2,30.410649333186,50.70232819333
17.4,30.517523762923,50.702360499404
17.6,30.622678363055,50.702392239322
17.8,30.726154955779,50.702423428634
18,30.827993835358,50.70245408226
18.2,30.928233838474,50.702484214523
18.4,31.026912410866,50.702513839179
18.6,31.124065670464,50.702542969445
18.8,31.219728467235,50.702571618025
19,31.313934439947,50.702599797137
19.2,31.406716070004,50.702627518534
19.4,31.498104732559,50.702654793525
19.6,31.588130745026,50.702681633003
19.8,31.676823413169,50.702708047455
20,31.764211074885,50.702734046989
20.2,31.850321141823,50.702759641347
20.4,31.935180138949,50.702784839924
20.6,32.018813742181,50.702809651783
20.8,32.101246814188,50.702834085669
21,32.182503438464,50.702858150026
21.2,32.262606951761,50.702881853008
21.4,32.34157997497,50.702905202493
21.6,32.419444442542,50.702928206095
21.8,32.496221630508,50.702950871175
22,32.571932183185,50.702973204853
22.2,32.646596138637,50.702995214017
22.4,32.72023295294,50.703016905333
22.6,32.792861523335,50.703038285259
22.8,32.864500210299,50.703059360044
23,32.935166858619,50.703080135748
23.2,33.004878817484,50.703100618241
23.4,33.073652959682,50.703120813217
23.6,33.141505699914,50.703140726196
23.8,33.208453012289,50.703160362536
24,33.27451044703,50.703179727436
24.2,33.339693146433,50.703198825945
24.4,33.40401586012,50.703217662964
24.6,33.467492959611,50.703236243258
24.8,33.530138452252,50.703254571456
25,33.591965994537,50.703272652057
25.2,33.652988904837,50.703290489439
25.4,33.713220175583,50.70330808786
25.6,33.772672484911,50.703325451463
25.8,33.831358207814,50.703342584281
26,33.889289426801,50.703359490242
26.2,33.946477942108,50.703376173171
26.4,34.002935281468,50.703392636794
26.6,34.058672709466,50.703408884746
26.8,34.113701236498,50.703424920567
27,34.168031627353,50.703440747712
27.2,34.221674409428,50.70345636955
27.4,34.274639880607,50.703471789369
27.6,34.326938116807,50.703487010377
27.8,34.378578979212,50.703502035709
28,34.429572121206,50.703516868423
28.2,34.479926995023,50.703531511511
28.4,34.529652858124,50.703545967891
28.6,34.578758779314,50.703560240421
28.8,34.627253644609,50.703574331891
29,34.675146162867,50.703588245031
29.2,34.722444871193,50.703601982512
29.4,34.769158140127,50.703615546946
29.6,34.815294178626,50.70362894089
29.8,34.860861038845,50.703642166849
30,34.905866620737,50.703655227272
30.2,34.950318676463,50.70366812456
30.4,34.994224814639,50.703680861066
30.6,35.037592504408,50.703693439092
30.8,35.080429079367,50.703705860899
31,35.122741741332,50.703718128699
31.2,35.164537563964,50.703730244662
31.4,35.205823496261,50.703742210919
31.6,35.246606365909,50.703754029557
31.8,35.286892882517,50.703765702623
32,35.326689640724,50.70377723213
32.2,35.366003123195,50.703788620049
32.4,35.404839703507,50.703799868318
32.6,35.443205648925,50.703810978838
32.8,35.481107123081,50.703821953477
33,35.518550188556,50.70383279407
33.2,35.555540809368,50.703843502418
33.4,35.592084853374,50.703854080291
33.6,35.628188094582,50.703864529431
33.8,35.663856215386,50.703874851547
34,35.699094808725,50.70388504832
34.2,35.733909380162,50.703895121403
34.4,35.768305349893,50.703905072422
34.6,35.802288054693,50.703914902974
34.8,35.835862749787,50.703924614633
35,35.869034610669,50.703934208944
35.2,35.901808734851,50.70394368743
35.4,35.934190143559,50.703953051587
35.6,35.966183783374,50.703962302891
35.8,35.997794527819,50.70397144279
36,36.029027178894,50.703980472712
36.2,36.059886468563,50.703989394065
36.4,36.090377060195,50.703998208231
36.6,36.120503549959,50.704006916573
36.8,36.150270468176,50.704015520434
37,36.179682280627,50.704024021135
37.2,36.208743389828,50.704032419979
37.4,36.23745813626,50.704040718249
37.6,36.265830799564,50.704048917209
37.8,36.293865599703,50.704057018104
38,36.32156669809,50.704065022161
38.2,36.348938198676,50.70407293059
38.4,36.375984149021,50.704080744582
38.6,36.40270854132,50.704088465313
38.8,36.42911531341,50.704096093941
39,36.455208349744,50.704103631608
39.2,36.480991482342,50.704111079439
39.4,36.506468491713,50.704118438544
39.6,36.531643107754,50.704125710018
39.8,36.556519010623,50.70413289494
40,36.581099831593,50.704139994375
40.2,36.60538915388,50.704147009372
40.4,36.629390513452,50.704153940966
40.6,36.653107399815,50.704160790179
40.8,36.676543256784,50.704167558019
41,36.699701483228,50.704174245479
41.2,36.722585433801,50.704180853539
41.4,36.745198419658,50.704187383168
41.6,36.767543709147,50.704193835319
41.8,36.789624528486,50.704200210935
42,36.811444062433,50.704206510944
42.2,36.833005454925,50.704212736264
42.4,36.854311809718,50.704218887801
42.6,36.875366191,50.704224966446
42.8,36.896171623998,50.704230973081
43,36.916731095568,50.704236908578
43.2,36.937047554774,50.704242773794
43.4,36.957123913451,50.704248569577
43.6,36.976963046761,50.704254296764
43.8,36.996567793734,50.704259956181
44,37.015940957795,50.704265548643
44.2,37.035085307289,50.704271074956
44.4,37.054003575984,50.704276535913
44.6,37.072698463571,50.704281932301
44.8,37.091172636152,50.704287264893
45,37.109428726721,50.704292534454
45.2,37.127469335627,50.70429774174
45.4,37.145297031041,50.704302887496
45.6,37.162914349402,50.704307972459
45.8,37.180323795859,50.704312997355
46,37.197527844711,50.704317962903
46.2,37.214528939824,50.704322869812
46.4,37.231329495058,50.704327718782
46.6,37.247931894672,50.704332510504
46.8,37.264338493726,50.704337245662
47,37.280551618483,50.70434192493
47.2,37.29657356679,50.704346548974
47.4,37.312406608467,50.704351118452
47.6,37.328052985676,50.704355634013
47.8,37.343514913293,50.704360096299
48,37.358794579273,50.704364505945
48.2,37.373894144999,50.704368863576
48.4,37.388815745639,50.704373169811
48.6,37.403561490487,50.704377425261
48.8,37.418133463304,50.704381630528
49,37.432533722649,50.704385786209
49.2,37.446764302207,50.704389892893
49.4,37.460827211114,50.704393951161
49.6,37.474724434271,50.704397961588
49.8,37.488457932659,50.704401924741
50,37.502029643645,50.70440584118
